,STATION,DATE,TIME,ENTRIES,NEW_ENTRIES
0,68ST-HUNTER CO,1/1/2017,0:00:00,24887764,0
1,68ST-HUNTER CO,1/1/2017,4:00:00,109507281,2288
2,68ST-HUNTER CO,1/1/2017,8:00:00,109507503,222
3,68ST-HUNTER CO,1/1/2017,12:00:00,109508455,952
4,68ST-HUNTER CO,1/1/2017,16:00:00,109510068,1613
5,68ST-HUNTER CO,1/1/2017,20:00:00,109511989,1921
6,68ST-HUNTER CO,1/2/2017,0:00:00,109512912,923
7,68ST-HUNTER CO,1/2/2017,4:00:00,109513079,167
8,68ST-HUNTER CO,1/2/2017,8:00:00,109513331,252
9,68ST-HUNTER CO,1/2/2017,12:00:00,109514510,1179
10,68ST-HUNTER CO,1/2/2017,16:00:00,109517013,2503
11,68ST-HUNTER CO,1/2/2017,20:00:00,109520119,3106
12,68ST-HUNTER CO,1/3/2017,0:00:00,109521400,1281
13,68ST-HUNTER CO,1/3/2017,4:00:00,109521577,177
14,68ST-HUNTER CO,1/3/2017,8:00:00,109522576,999
15,68ST-HUNTER CO,1/3/2017,12:00:00,109526542,3966
16,68ST-HUNTER CO,1/3/2017,16:00:00,109533285,6743
17,68ST-HUNTER CO,1/3/2017,20:00:00,56175475,6494
18,68ST-HUNTER CO,1/4/2017,0:00:00,109545384,2305
19,68ST-HUNTER CO,1/4/2017,4:00:00,109545609,225
20,68ST-HUNTER CO,1/4/2017,8:00:00,109546563,954
21,68ST-HUNTER CO,1/4/2017,12:00:00,109550476,3913
22,68ST-HUNTER CO,1/4/2017,16:00:00,84662911,5715
23,68ST-HUNTER CO,1/4/2017,20:00:00,53650927,5661
24,68ST-HUNTER CO,1/5/2017,0:00:00,109569429,2369
25,68ST-HUNTER CO,1/5/2017,4:00:00,109569672,243
26,68ST-HUNTER CO,1/5/2017,8:00:00,109570642,970
27,68ST-HUNTER CO,1/5/2017,12:00:00,109574734,4092
28,68ST-HUNTER CO,1/5/2017,16:00:00,84684343,5887
29,68ST-HUNTER CO,1/5/2017,20:00:00,53582145,4752
30,68ST-HUNTER CO,1/6/2017,0:00:00,109594276,2753
31,68ST-HUNTER CO,1/6/2017,4:00:00,109594532,256
32,68ST-HUNTER CO,1/6/2017,8:00:00,109595505,973
33,68ST-HUNTER CO,1/6/2017,12:00:00,109599886,4381
34,68ST-HUNTER CO,1/6/2017,16:00:00,84706967,6386
35,68ST-HUNTER CO,1/6/2017,20:00:00,64026294,6686
